Resultado da votação: 
Jogador              votos              %
1                3             23.08
3                1             7.69
4                1             7.69
5                1             7.69
6                1             7.69
7                2             15.38
8                1             7.69
9                1             7.69
12                1             7.69
23                1             7.69
O melhor jogador foi o número 1, com 3 votos, correspondendo a 23.08% do total de votos.
